frame,landmark,x,y,z,visibility
0,0,-0.020114964231913283,1.4006718518135886,-0.35314730963797636,1.0
0,1,-0.001265045048526662,1.4192204055292919,-0.34529809914238174,1.0
0,2,0.0017378274049433798,1.4190215778540929,-0.3338834815357494,1.0
0,3,0.0009139327182886615,1.4191222440479652,-0.33736275996620224,1.0
0,4,-0.021576612355455112,1.4332857267854542,-0.3619594824940131,1.0
0,5,-0.019427344278136745,1.430927865102731,-0.37435100352210027,1.0
0,6,-0.014785276328431516,1.4205455969425065,-0.35422472410440053,1.0
0,7,0.04885357791536314,1.4143692512653139,-0.23121068633978098,1.0
0,8,-0.0865454340705528,1.3922349679934127,-0.25066005288115595,1.0
0,9,0.007333382248971251,1.3937704028344755,-0.29642493343000265,1.0
0,10,-0.025624535488769255,1.365049456195283,-0.3309809431276497,1.0
0,11,0.11116490815449767,1.2769765291309685,-0.0717281873225806,1.0
0,12,-0.1638954379156337,1.3471764579708259,-0.0636791110514793,1.0
0,13,0.1794935356617387,1.0720431862471362,-0.01854368593388164,1.0
0,14,-0.18852859702110913,1.0582295138843076,-0.07216723607535837,1.0
0,15,0.22644157028169812,0.8451773072695827,-0.00575922780334576,1.0
0,16,-0.21689185178960563,0.856505676042441,-0.1290380445393469,1.0
0,17,0.23435815735671686,0.8021900020036314,-0.005319173941326956,1.0
0,18,-0.1959193793776902,0.820707238765772,-0.17148195866081864,1.0
0,19,0.20051951881978322,0.7878934687532644,-0.03289246558554308,1.0
0,20,-0.1638101328284317,0.8434573383214532,-0.19445102166483202,1.0
0,21,0.22100973939241106,0.8101374852218534,-0.016155730226613044,1.0
0,22,-0.19862827851961146,0.8535914767585231,-0.1473398899658386,1.0
0,23,0.09458591945541703,0.8583223195863457,0.04588029392443438,1.0
0,24,-0.09191242101423444,0.8628287949232606,-0.0432710027191556,1.0
0,25,0.1462964476954934,0.44233709758187045,-0.0055912373715412585,1.0
0,26,-0.16524228139642427,0.5242488735060463,-0.08280446979115587,1.0
0,27,0.15071167824650183,0.09217725712154345,0.09745923404225275,1.0
0,28,-0.3296992687792082,0.12464254422351943,0.039741067392240585,1.0
0,29,0.12822753749375382,0.05351378147201299,0.11167581048004944,1.0
0,30,-0.3468544446381061,0.09107806955630504,0.012166392045321684,1.0
0,31,0.13059898138502782,0.009986469213224757,0.036665823197696526,1.0
0,32,-0.33518163794079836,0.07264874078908322,-0.09315871555709263,1.0
1,0,-0.021781510779618027,1.4026145570211828,-0.34923950200707676,1.0
1,1,-0.002807975081070174,1.4209926416020082,-0.34137076181842557,1.0
1,2,0.000135143935404167,1.420814266461642,-0.32994323454664076,1.0
1,3,-0.000703292915503568,1.4208659363484493,-0.333404022815067,1.0
1,4,-0.02313174537884072,1.4351653649404452,-0.3579318792230066,1.0
1,5,-0.02099904416035149,1.4328426800102523,-0.37027840718318417,1.0
1,6,-0.016133683559126127,1.422448874872754,-0.35020843910020105,1.0
1,7,0.04724059747597997,1.415565490837246,-0.22780586191670524,1.0
1,8,-0.08725828387507584,1.3931934854532584,-0.24705669805675184,1.0
1,9,0.005501520085053488,1.3955953509831311,-0.2926568872007444,1.0
1,10,-0.026904340476795314,1.3669057105377644,-0.32715704176644617,1.0
1,11,0.11032784239565871,1.2774555716855571,-0.0687246665624063,1.0
1,12,-0.16618156302016346,1.3475296025337122,-0.06042019440090042,1.0
1,13,0.17819127026487078,1.0732731826254394,-0.013977224787749133,1.0
1,14,-0.18877514797548198,1.059246927281647,-0.0683332961751736,1.0
1,15,0.22502397084293843,0.846501780879777,0.0012649604573218782,1.0
1,16,-0.2173249715418437,0.8559248287008229,-0.12536586273741865,1.0
1,17,0.23249589845168345,0.8034204633985805,0.002684558065786059,1.0
1,18,-0.19661857228929622,0.8201725449402608,-0.1676535370695399,1.0
1,19,0.1990202822472554,0.7887797236424827,-0.024887052153669962,1.0
1,20,-0.16475955139269846,0.8425286972647074,-0.19040763234904162,1.0
1,21,0.21987514919686163,0.8115312621853692,-0.008918809356898441,1.0
1,22,-0.19925669121099238,0.8528218935881654,-0.143510280268927,1.0
1,23,0.0946866457553044,0.8582713851924169,0.045672751307102716,1.0
1,24,-0.09202079987560377,0.8628782069404426,-0.043043765431479246,1.0
1,25,0.14476086210284972,0.4407780574076759,-0.005355321314358136,1.0
1,26,-0.16461507859362234,0.5249221934069871,-0.08206296297807142,1.0
1,27,0.15153269282703663,0.0912356644199338,0.10101303830654017,1.0
1,28,-0.32786814101973333,0.1263458738298812,0.04515216663871953,1.0
1,29,0.12931787966871403,0.052264733304903846,0.11548567161544929,1.0
1,30,-0.34501821364531343,0.09279262164103784,0.017966887478113626,1.0
1,31,0.1305353993046955,0.008383835404602531,0.039599652958331365,1.0
1,32,-0.33481236988616764,0.07590573697955438,-0.0878237293000177,1.0
2,0,-0.023283965350902602,1.4042310993115854,-0.346075728585371,1.0
2,1,-0.004211243035831269,1.422461454301192,-0.33821389447684974,1.0
2,2,-0.0013218867627463858,1.4223000094310496,-0.32677201805618383,1.0
2,3,-0.002172359625215404,1.4223096238855228,-0.3302157650707209,1.0
2,4,-0.024545357369326202,1.43671796839758,-0.354682162884099,1.0
2,5,-0.022425897353198897,1.4344243038520406,-0.3669905425348098,1.0
2,6,-0.01736264639976775,1.4240204282206759,-0.3469670415244842,1.0
2,7,0.045770701282624796,1.4165754324642472,-0.2251050678250737,1.0
2,8,-0.08791523499939015,1.3939335801385226,-0.2441742415695144,1.0
2,9,0.003851472142128977,1.3971315514398568,-0.2896048722290485,1.0
